isin,name,fund_house,manco,vehicle,is_index_tracker,jse_code,yahoo_symbol,asisa_geography,asisa_asset_class,asisa_category,tfsa_eligible,platforms,mdd_page_url,curation_rule
ZAE000188538,FR Best Blend Balanced Fund (C),Best Blend,Fundrock Collective Investments,unit_trust,false,BBBCF,,South African,Multi Asset,South African - Multi Asset - High Equity,false,EasyEquities,https://www.bcis.co.za/boutique-collective-investments/funds,on the EasyEquities unit trust list; figures transcribed from the manager's own fact sheet
ZAE000027108,Satrix 40 ETF,Satrix,Satrix Managers (RF) (Pty) Ltd,etf,true,STX40,STX40.JO,South African,Equity,South African - Equity - SA General,false,EasyEquities,https://satrix.co.za/fund/mdd/STX40,JSE-listed and available on EasyEquities; figures transcribed from the manager's own fact sheet
ZAE000199840,Cartesian FR Money Market Fund (A),Cartesian Capital,Fundrock Collective Investments,unit_trust,false,CABFA,,South African,Interest Bearing,South African - Interest Bearing - Money Market,false,EasyEquities,https://www.bcis.co.za/boutique-collective-investments/funds,on the EasyEquities unit trust list; figures transcribed from the manager's own fact sheet
ZAE000190823,36ONE FR SA Equity Fund (C),36ONE Asset Management,Fundrock Collective Investments,unit_trust,false,BCSEC,,South African,Equity,South African - Equity - SA General,false,EasyEquities,https://www.bcis.co.za/boutique-collective-investments/funds,on the EasyEquities unit trust list; figures transcribed from the manager's own fact sheet
ZAE000203170,PortfolioMetrix FR SA Property Fund (A),PortfolioMetrix Asset Management SA,Fundrock Collective Investments,unit_trust,false,PMPFA,,South African,Real Estate,South African - Real Estate - General,false,EasyEquities,https://www.bcis.co.za/boutique-collective-investments/funds,on the EasyEquities unit trust list; figures transcribed from the manager's own fact sheet
ZAE000205498,Harvard House FR Property Fund (A),Harvard House Investment Management,Fundrock Collective Investments,unit_trust,false,HHBPA,,South African,Real Estate,South African - Real Estate - General,false,EasyEquities,https://www.bcis.co.za/boutique-collective-investments/funds,on the EasyEquities unit trust list; figures transcribed from the manager's own fact sheet
