isin,as_of,mdd_url,risk_indicator_raw,risk_indicator_1to5,recommended_min_term_years,objective,benchmark,ter,tc,tic,fund_size_zar,min_lump_sum,min_debit_order,distribution_frequency,asset_allocation,performance,entered_by,nav_cpu,nav_date,fee_period,inception_date,annual_management_fee,return_high_12m,return_low_12m,return_extremes_basis,risk_narrative,horizon_words,portfolio_manager,regulation_28,income_distribution,top_holdings
ZAE000126033,2026-07-31,https://satrix.co.za/fund/mdd/STXRAF,Aggressive,5,,"to track, as closely as possible, the value of the FTSE/JSE RAFI 40 Index (J260)",FTSE/JSE RAFI 40 (J260),0.52,0.07,0.59,,,,,,,seed transcription,,,,,,,,,,,,,,
ZAE000247987,2026-07-31,https://satrix.co.za/fund/mdd/STXQUA,Aggressive,5,,"to track, as closely as possible, the proprietary Satrix Quality Index through direct replication",Satrix Quality Index,0.40,0.15,0.55,,,,Quarterly,,,seed transcription,,,,,,,,,,,,,,
ZAE000102018,2026-07-31,https://satrix.co.za/fund/mdd/STXDIV,Aggressive,5,,"to track, as closely as possible, the value of the FTSE/JSE Dividend Plus Index (J259)",FTSE/JSE Dividend Plus Index (J259),0.44,0.13,0.57,,,,,,,seed transcription,,,,,,,,,,,,,,
ZAE000309852,2026-07-31,https://www.bcis.co.za/upload/factsheet_categories_folders/funds/3B%20Asset%20Management/3B%20FR%20Income%20Fund%20(A)%20BCIIFA.pdf,Low,1,,to achieve a high level of sustainable income and stability of capital invested,SteFI Composite Index,0.71,0.00,0.71,527491584,0,0,Quarterly,,,seed transcription,,,,,,,,,,,,,,
ZAE000188520,2026-07-31,https://www.bcis.co.za/upload/factsheet_categories_folders/funds/01%20-%20Fundrock%20Collective%20Investments/FR%20Best%20Blend%20Cautious%20Fund%20(C)%20BBCCF.pdf,Low - Moderate,2,,a specialist multi managed prudential portfolio that seeks to provide investors with income and stable capital growth,CPI + 1%,1.36,0.09,1.45,66280084,0,0,Quarterly,,,seed transcription,,,,,,,,,,,,,,
ZAE000196622,2026-07-31,https://www.bcis.co.za/upload/factsheet_categories_folders/funds/Bovest%20Capital/Bovest%20FR%20Conservative%20Fund%20of%20Funds%20(A)%20BBCFA.pdf,Low - Moderate,2,,to provide the investor with a high level of income and stable capital growth,CPI for all urban areas plus 3%,1.48,0.06,1.54,259746941,0,0,Quarterly,,,seed transcription,,,,,,,,,,,,,,
ZAE000126587,2026-07-31,https://www.bcis.co.za/upload/factsheet_categories_folders/funds/Aluwani%20Capital%20Partners/Aluwani%20FR%20Money%20Market%20Fund%20(A)%20MVMM.pdf,Low,1,,to obtain as high a level of current income as is consistent with capital preservation and liquidity,STeFI (3 months),0.35,0.00,0.35,2490755481,0,0,Monthly,,,seed transcription,,,,,,,,,,,,,,
ZAE000315461,2026-07-31,https://www.bcis.co.za/upload/factsheet_categories_folders/funds/Ampersand%20Asset%20Management/Ampersand%20FR%20Moderate%20Fund%20of%20Funds%20(A1)%20ASCPS4.pdf,Moderate,3,,to provide investors with a moderate long term total return,ASISA SA Multi Asset Medium Equity category average,2.00,0.00,2.00,1138756619,0,0,Semi-annually (June and December),,,seed transcription,,,,,,,,,,,,,,
ZAE000188223,2026-07-31,https://www.bcis.co.za/upload/factsheet_categories_folders/funds/Cadiz%20Asset%20Management/Cadiz%20FR%20Bond%20Fund%20(A)%20CBRIA.pdf,Low - Moderate,2,,"to generate returns above the FTSE JSE All Bond Index (ALBI) over time, utilising active bond management combined with strategies which aim to reduce risk",FTSE JSE All Bond Index (ALBI),0.95,0.00,0.95,829385590,0,0,Quarterly,,,seed transcription,,,,,,,,,,,,,,
ZAE000019808,2026-07-31,https://www.coronation.com/globalassets/asset-library/comprehensive-fact-sheets/2026/july/personal/retail/2026-july-balanced-plus-fund-comprehensive_corb.pdf,Moderate,3,5,Balanced Plus aims to achieve the best possible investment growth for retirement savers (within the constraints of Regulation 28 of the Pension Funds Act) over the long term.,ASISA fund category average (excluding Coronation funds),1.61,0.18,1.79,145530000000,5000,500,Semi-annually (March & September),"{""Domestic equities"": 36.2, ""Domestic real estate"": 6.9, ""Domestic bonds"": 13.7, ""Domestic cash"": 1.2, ""International equities"": 37.9, ""International real estate"": 0.1, ""International bonds"": 2.7, ""International cash"": 1.3}","{""1y"": 6.0, ""3y"": 12.7, ""5y"": 10.9, ""10y"": 9.1}",hand transcription 2026-09-09,19090.44,2026-07-31,1y,1996-04-15,1.25,49.3,-17.4,rolling_12m,"As Balanced Plus aims to maximise long-term returns, it will typically have a strong bias towards shares, which offer the highest expected growth over the long run. While shares usually offer the best investment return, this comes with the greatest risk of short-term losses.",The recommended investment term is five years and longer.,Karl Leinberger and Sarah-Jane Alexander,true,"{""2026-03"": 102.47, ""2025-09"": 151.16, ""2025-03"": 86.59, ""2024-09"": 108.77}","{""Standard Bank Group Ltd"": 3.1, ""Naspers Limited"": 3.0, ""Prosus"": 2.9, ""Capitec Bank Holdings Ltd"": 2.4, ""Fortress Reit Ltd"": 1.9, ""Auto1 Group"": 1.7, ""Advtech Ltd"": 1.5, ""Mtn Group Ltd"": 1.5, ""TSMC"": 1.5, ""Nu Holdings"": 1.5}"
ZAE000170403,2026-07-31,https://www.coronation.com/globalassets/asset-library/comprehensive-fact-sheets/2026/july/personal/clean/2026-july-strategic-income-fund-p-comprehensive_csib4.pdf,Conservative,1,1,"Strategic Income is tactically managed to secure an attractive return, while aiming to protect against capital loss over any twelve-month period.",110% of the STeFI 3-month Index,0.52,0.00,0.53,41370000000,,,Quarterly,"{""Domestic Assets"": 87.7, ""International Assets"": 12.3}","{""1y"": 9.6, ""3y"": 11.0, ""5y"": 9.3, ""10y"": 8.5}",hand transcription 2026-09-09,1643.88,2026-07-31,1y,2012-10-01,0.45,18.7,2.5,rolling_12m,,The recommended investment term is 12-months and longer.,Nishan Maharaj and Mauro Longano,,"{""2026-06"": 29.47, ""2026-03"": 29.72, ""2025-12"": 29.71, ""2025-09"": 29.33}","{""Republic Of South Africa"": 46.0, ""Standard Bank Of Sa"": 21.2, ""Firstrand Bank Ltd"": 9.9, ""Nedbank Ltd"": 7.2, ""Absa Bank Ltd"": 7.1}"
ZAE000024204,2025-05-31,,6 of 7,5,,The Fund aims to provide a total return (the combination of income and capital growth) by investing in equities (e.g. company shares).,70.0% FTSE/JSE Capped Shareholder Weighted All Share Index TR ZAR (SWIX CAPI) + 30.0% MSCI AC World (ACWI) Net Return,0.99,0.24,1.23,15900000000,10000,,Bi-annually,"{""Local Assets"": 66.8, ""Foreign Assets"": 33.2}","{""1y"": 18.5, ""3y"": 9.7, ""5y"": 14.1, ""10y"": 8.2}",hand transcription 2026-09-09,,,,1987-11-02,,65.8,-34.8,rolling_12m,,An equity-only fund for investors seeking capital growth over the long term,"Hannes van den Berg, Rehana Khan",,"{""2025-04"": 53.00, ""2024-10"": 69.62}",
ZAE000024162,2025-05-31,,4 of 7,3,,The Fund aims to provide capital growth.,,1.85,0.02,1.87,91500000000,10000,,Bi-annually,"{""Local Assets"": 62.3, ""Foreign Assets"": 37.7}","{""1y"": 15.3, ""3y"": 12.7, ""5y"": 10.2, ""10y"": 8.7}",hand transcription 2026-09-09,,,,1997-05-02,,43.8,-15.7,rolling_12m,"Seeks to provide lower volatility than traditional balanced funds, but with sufficient equity to provide scope for capital growth over the medium to long term",scope for capital growth over the medium to long term,Clyde Rossouw,true,"{""2025-04"": 4.23, ""2024-10"": 17.54}",
ZAE000140505,2025-10-31,,2 of 7,1,,The Fund aims to provide a high level of income while seeking opportunities to maximise capital growth.,STeFI Composite (FTSE/JSE ALBI 1-3 pre 01/07/2011),0.99,0.02,1.01,33400000000,10000,,Quarterly,"{""Local Assets"": 88.4, ""Foreign Assets"": 11.6}","{""1y"": 10.4, ""3y"": 9.9, ""5y"": 8.4, ""10y"": 8.0}",hand transcription 2026-09-09,,,,2008-09-01,0.85,12.8,4.1,rolling_12m,,,"Peter Kent, Malcolm Charles, Adam Furlan",true,"{""2025-10"": 2.25, ""2025-07"": 2.32, ""2025-04"": 2.34, ""2025-01"": 2.58}",
ZAE000107504,2026-07-31,https://www.discovery.co.za/invest-public/ws/documvest-factsheet/download/DBFD,Medium/high,4,,The portfolio will attempt to achieve a moderate risk profile by actively managing the exposure to the various asset classes. This fund has a maximum equity limit of 75%.,ASISA Sector Average,2.01,0.16,2.17,53310621249,,,Bi-annually (end of June and December),"{""Local Assets"": 60.6, ""Foreign Assets"": 39.4}","{""1y"": 8.73, ""3y"": 11.73, ""5y"": 9.54, ""10y"": 8.13}",hand transcription 2026-09-09,,,3y,2007-10-22,1.50,,,,,"This fund is suitable for investors looking to access a diversified mix of asset classes and steady, stable growth over the long term.",Hannes Van Den Berg and Samantha Hartard,,"{""2026-06"": 3.6, ""2025-12"": 2.65}","{""Naspers Ltd"": 4.3, ""Standard Bank Group Ltd"": 3.0, ""Capitec Bank Holdings Ltd"": 2.9, ""Mtn Group Ltd"": 2.6, ""Nvidia Corp"": 2.5, ""Firstrand Ltd"": 1.9, ""Taiwan Semiconductor Manufacturing Co Ltd"": 1.8, ""Anglogold Ashanti Plc"": 1.7, ""Valterra Platinum Ltd"": 1.7, ""Gold Fields Ltd"": 1.7}"
ZAE000068789,2026-05-31,https://wealth.momentum.co.za/investments/factsheets/curate-momentum-income-plus-fund-(a).pdf,2 of 5,2,3,"This fund, which invests predominantly in the debt issued by banks and companies, aims to give investors the highest possible income without taking on high levels of risk.",STeFI Composite Index + 2.5% p.a.,1.19,0.01,1.19,11580000000,,,Quarterly,"{""Local capital market"": 49.0, ""Local CIS (interest bearing)"": 2.2, ""Local CIS (money market)"": 1.5, ""Local equity"": 1.8, ""Local cash/money market"": 2.7, ""Foreign capital market"": 40.5, ""Foreign cash/money market"": 2.3}","{""1y"": 10.24, ""3y"": 9.99, ""5y"": 8.68, ""10y"": 8.53}",hand transcription 2026-09-09,110.83,2026-05-31,3y,2005-07-01,1.00,,,,"Changes in inflation and interest rates will impact the returns from the fund. There will be some variability in performance over shorter periods as the value of some investments may move around. Capital losses may occur, but only in extreme events.",Appropriate term: 3+ years,Momentum Fixed Income,false,"{""2025-06"": 2.49, ""2025-09"": 2.543, ""2025-12"": 2.475, ""2026-03"": 2.364}",
